adc_bits,dac_bits,comparator_noise,settling_fraction,row_drop_case_ohm,spice_row_drop_loss_pct,relative_error,energy_relative,latency_comparisons,useful,interpretation
5,4,0.012,0.97,100.0,6.932031250000015,0.1851205305395241,1.7407407407407407,20,0,too much model-facing error
6,4,0.0,1.0,100.0,6.932031250000015,0.09000426441791687,3.222222222222222,24,1,reasonable converter boundary
6,4,0.0,0.97,100.0,6.932031250000015,0.09000426441791687,3.222222222222222,24,1,reasonable converter boundary
6,4,0.004,1.0,100.0,6.932031250000015,0.09000426441791687,3.222222222222222,24,1,reasonable converter boundary
6,4,0.004,0.97,100.0,6.932031250000015,0.09000426441791687,3.222222222222222,24,1,reasonable converter boundary
6,4,0.012,1.0,100.0,6.932031250000015,0.09000426441791687,3.222222222222222,24,1,reasonable converter boundary
6,4,0.012,0.97,100.0,6.932031250000015,0.09000426441791687,3.222222222222222,24,1,reasonable converter boundary
7,4,0.0,1.0,100.0,6.932031250000015,0.13674384574221884,6.185185185185184,28,0,too much model-facing error
7,4,0.0,0.97,100.0,6.932031250000015,0.13674384574221884,6.185185185185184,28,0,too much model-facing error
7,4,0.004,1.0,100.0,6.932031250000015,0.13674384574221884,6.185185185185184,28,0,too much model-facing error
7,4,0.004,0.97,100.0,6.932031250000015,0.13674384574221884,6.185185185185184,28,0,too much model-facing error
7,4,0.012,1.0,100.0,6.932031250000015,0.13674384574221884,6.185185185185184,28,0,too much model-facing error
7,4,0.012,0.97,100.0,6.932031250000015,0.13674384574221884,6.185185185185184,28,0,too much model-facing error
8,4,0.0,1.0,100.0,6.932031250000015,0.08849255417237004,12.11111111111111,32,0,precision costs more than the error reduction justifies
8,4,0.0,0.97,100.0,6.932031250000015,0.14464285163090176,12.11111111111111,32,0,too much model-facing error
8,4,0.004,1.0,100.0,6.932031250000015,0.08849255417237004,12.11111111111111,32,0,precision costs more than the error reduction justifies
8,4,0.004,0.97,100.0,6.932031250000015,0.13391113870803364,12.11111111111111,32,0,too much model-facing error
8,4,0.012,1.0,100.0,6.932031250000015,0.08849255417237004,12.11111111111111,32,0,precision costs more than the error reduction justifies
8,4,0.012,0.97,100.0,6.932031250000015,0.13391113870803364,12.11111111111111,32,0,too much model-facing error
3,5,0.0,1.0,100.0,6.932031250000015,0.3889029604082076,1.259259259259259,12,0,too much model-facing error
3,5,0.0,0.97,100.0,6.932031250000015,0.3889029604082076,1.259259259259259,12,0,too much model-facing error
3,5,0.004,1.0,100.0,6.932031250000015,0.3889029604082076,1.259259259259259,12,0,too much model-facing error
3,5,0.004,0.97,100.0,6.932031250000015,0.3889029604082076,1.259259259259259,12,0,too much model-facing error
3,5,0.012,1.0,100.0,6.932031250000015,0.3889029604082076,1.259259259259259,12,0,too much model-facing error
3,5,0.012,0.97,100.0,6.932031250000015,0.3889029604082076,1.259259259259259,12,0,too much model-facing error
4,5,0.0,1.0,100.0,6.932031250000015,0.3796196183080618,1.259259259259259,16,0,too much model-facing error
4,5,0.0,0.97,100.0,6.932031250000015,0.3796196183080618,1.259259259259259,16,0,too much model-facing error
4,5,0.004,1.0,100.0,6.932031250000015,0.3796196183080618,1.259259259259259,16,0,too much model-facing error
4,5,0.004,0.97,100.0,6.932031250000015,0.3796196183080618,1.259259259259259,16,0,too much model-facing error
4,5,0.012,1.0,100.0,6.932031250000015,0.3796196183080618,1.259259259259259,16,0,too much model-facing error
4,5,0.012,0.97,100.0,6.932031250000015,0.3796196183080618,1.259259259259259,16,0,too much model-facing error
5,5,0.0,1.0,100.0,6.932031250000015,0.1851205305395241,2.0,20,0,too much model-facing error
5,5,0.0,0.97,100.0,6.932031250000015,0.1851205305395241,2.0,20,0,too much model-facing error
5,5,0.004,1.0,100.0,6.932031250000015,0.1851205305395241,2.0,20,0,too much model-facing error
5,5,0.004,0.97,100.0,6.932031250000015,0.1851205305395241,2.0,20,0,too much model-facing error
5,5,0.012,1.0,100.0,6.932031250000015,0.1851205305395241,2.0,20,0,too much model-facing error
5,5,0.012,0.97,100.0,6.932031250000015,0.1851205305395241,2.0,20,0,too much model-facing error
6,5,0.0,1.0,100.0,6.932031250000015,0.09000426441791687,3.4814814814814814,24,1,reasonable converter boundary
6,5,0.0,0.97,100.0,6.932031250000015,0.09000426441791687,3.4814814814814814,24,1,reasonable converter boundary
6,5,0.004,1.0,100.0,6.932031250000015,0.09000426441791687,3.4814814814814814,24,1,reasonable converter boundary
6,5,0.004,0.97,100.0,6.932031250000015,0.09000426441791687,3.4814814814814814,24,1,reasonable converter boundary
6,5,0.012,1.0,100.0,6.932031250000015,0.09000426441791687,3.4814814814814814,24,1,reasonable converter boundary
6,5,0.012,0.97,100.0,6.932031250000015,0.09000426441791687,3.4814814814814814,24,1,reasonable converter boundary
7,5,0.0,1.0,100.0,6.932031250000015,0.05870575245722467,6.444444444444444,28,1,reasonable converter boundary
7,5,0.0,0.97,100.0,6.932031250000015,0.09787114823200907,6.444444444444444,28,1,reasonable converter boundary
7,5,0.004,1.0,100.0,6.932031250000015,0.05870575245722467,6.444444444444444,28,1,reasonable converter boundary
7,5,0.004,0.97,100.0,6.932031250000015,0.09787114823200907,6.444444444444444,28,1,reasonable converter boundary
7,5,0.012,1.0,100.0,6.932031250000015,0.05870575245722467,6.444444444444444,28,1,reasonable converter boundary
7,5,0.012,0.97,100.0,6.932031250000015,0.09787114823200907,6.444444444444444,28,1,reasonable converter boundary
8,5,0.0,1.0,100.0,6.932031250000015,0.06796400942868812,12.370370370370368,32,0,precision costs more than the error reduction justifies
